




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitotic cell cycle phase transition (GO:0044772)	33	23	4.58	+	5.02	3.87E-13	6.63E-12
cell cycle phase transition (GO:0044770)	36	25	5.00	+	5.00	4.10E-14	7.64E-13
signaling receptor ligand precursor processing (GO:0140448)	13	9	1.81	+	4.98	7.97E-06	6.35E-05
positive regulation of axon guidance (GO:1902669)	13	9	1.81	+	4.98	7.97E-06	6.34E-05
positive regulation of cell-cell adhesion (GO:0022409)	13	9	1.81	+	4.98	7.97E-06	6.33E-05
haltere development (GO:0007482)	13	9	1.81	+	4.98	7.97E-06	6.33E-05
regulation of intracellular mRNA localization (GO:1904580)	29	20	4.03	+	4.96	1.86E-11	2.84E-10
regulation of oskar mRNA translation (GO:0046011)	16	11	2.22	+	4.95	8.06E-07	7.73E-06
R3/R4 cell differentiation (GO:0048056)	16	11	2.22	+	4.95	8.06E-07	7.72E-06
regulation of wound healing (GO:0061041)	16	11	2.22	+	4.95	8.06E-07	7.71E-06
cellular response to growth factor stimulus (GO:0071363)	35	24	4.86	+	4.94	2.08E-13	3.65E-12
response to growth factor (GO:0070848)	35	24	4.86	+	4.94	2.08E-13	3.64E-12
regulation of actomyosin structure organization (GO:0110020)	19	13	2.64	+	4.93	8.26E-08	8.76E-07
germ-band shortening (GO:0007390)	19	13	2.64	+	4.93	8.26E-08	8.75E-07
regulation of cell cycle G1/S phase transition (GO:1902806)	22	15	3.06	+	4.91	8.56E-09	1.02E-07
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	22	15	3.06	+	4.91	8.56E-09	1.01E-07
heart morphogenesis (GO:0003007)	37	25	5.14	+	4.86	1.10E-13	1.98E-12
regulation of epithelial cell migration (GO:0010632)	52	35	7.22	+	4.85	1.47E-18	3.68E-17
photoreceptor cell fate commitment (GO:0046552)	82	55	11.39	+	4.83	2.64E-28	1.04E-26
follicle cell of egg chamber-cell adhesion (GO:0007299)	6	4	.83	+	4.80	4.41E-03	1.78E-02
smoothened signaling pathway (GO:0007224)	9	6	1.25	+	4.80	4.11E-04	2.17E-03
protein autoprocessing (GO:0016540)	6	4	.83	+	4.80	4.41E-03	1.78E-02
sex comb development (GO:0045498)	9	6	1.25	+	4.80	4.11E-04	2.17E-03
tetrahydrobiopterin biosynthetic process (GO:0006729)	6	4	.83	+	4.80	4.41E-03	1.77E-02
regulation of adult chitin-containing cuticle pigmentation (GO:0048082)	12	8	1.67	+	4.80	4.02E-05	2.76E-04
regulation of cuticle pigmentation (GO:0048079)	12	8	1.67	+	4.80	4.02E-05	2.76E-04
female meiosis II (GO:0007147)	6	4	.83	+	4.80	4.41E-03	1.77E-02
R1/R6 cell differentiation (GO:0048052)	6	4	.83	+	4.80	4.41E-03	1.77E-02
meiosis II (GO:0007135)	6	4	.83	+	4.80	4.41E-03	1.77E-02
muscle thin filament assembly (GO:0071689)	6	4	.83	+	4.80	4.41E-03	1.77E-02
circadian regulation of gene expression (GO:0032922)	9	6	1.25	+	4.80	4.11E-04	2.17E-03
peptide hormone processing (GO:0016486)	12	8	1.67	+	4.80	4.02E-05	2.75E-04
G2/M transition of mitotic cell cycle (GO:0000086)	9	6	1.25	+	4.80	4.11E-04	2.17E-03
calcineurin-mediated signaling (GO:0097720)	6	4	.83	+	4.80	4.41E-03	1.77E-02
compound eye cone cell differentiation (GO:0042675)	12	8	1.67	+	4.80	4.02E-05	2.75E-04
convergent extension involved in gastrulation (GO:0060027)	6	4	.83	+	4.80	4.41E-03	1.77E-02
nuclear body organization (GO:0030575)	6	4	.83	+	4.80	4.41E-03	1.77E-02
regulation of cardioblast differentiation (GO:0051890)	6	4	.83	+	4.80	4.41E-03	1.77E-02
epidermal growth factor receptor ligand maturation (GO:0038004)	6	4	.83	+	4.80	4.41E-03	1.77E-02
regulation of mitochondrial membrane potential (GO:0051881)	6	4	.83	+	4.80	4.41E-03	1.76E-02
regulation of cardiocyte differentiation (GO:1905207)	6	4	.83	+	4.80	4.41E-03	1.76E-02
mitotic recombination (GO:0006312)	6	4	.83	+	4.80	4.41E-03	1.76E-02
negative regulation of lamellocyte differentiation (GO:0035204)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
DNA unwinding involved in DNA replication (GO:0006268)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
mitochondrial DNA replication (GO:0006264)	6	4	.83	+	4.80	4.41E-03	1.76E-02
larval central nervous system remodeling (GO:0035193)	6	4	.83	+	4.80	4.41E-03	1.76E-02
mitotic cytokinetic process (GO:1902410)	12	8	1.67	+	4.80	4.02E-05	2.75E-04
hemocyte proliferation (GO:0035172)	6	4	.83	+	4.80	4.41E-03	1.76E-02
imaginal disc lineage restriction (GO:0035161)	6	4	.83	+	4.80	4.41E-03	1.76E-02
brain morphogenesis (GO:0048854)	6	4	.83	+	4.80	4.41E-03	1.76E-02
regulation of axon extension involved in axon guidance (GO:0048841)	6	4	.83	+	4.80	4.41E-03	1.76E-02
response to lipopolysaccharide (GO:0032496)	6	4	.83	+	4.80	4.41E-03	1.76E-02
protein localization to chromatin (GO:0071168)	6	4	.83	+	4.80	4.41E-03	1.76E-02
regulation of lipophagy (GO:1904502)	6	4	.83	+	4.80	4.41E-03	1.75E-02
heat shock-mediated polytene chromosome puffing (GO:0035080)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
2-oxoglutarate metabolic process (GO:0006103)	6	4	.83	+	4.80	4.41E-03	1.75E-02
negative regulation of photoreceptor cell differentiation (GO:0046533)	12	8	1.67	+	4.80	4.02E-05	2.75E-04
positive regulation of meiotic cell cycle (GO:0051446)	6	4	.83	+	4.80	4.41E-03	1.75E-02
embryonic digestive tract development (GO:0048566)	6	4	.83	+	4.80	4.41E-03	1.75E-02
unidimensional cell growth (GO:0009826)	21	14	2.92	+	4.80	4.25E-08	4.61E-07
negative regulation of sequestering of calcium ion (GO:0051283)	6	4	.83	+	4.80	4.41E-03	1.75E-02
dicarboxylic acid catabolic process (GO:0043649)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
release of sequestered calcium ion into cytosol (GO:0051209)	6	4	.83	+	4.80	4.41E-03	1.75E-02
mitochondrial DNA metabolic process (GO:0032042)	6	4	.83	+	4.80	4.41E-03	1.75E-02
mesenchyme development (GO:0060485)	12	8	1.67	+	4.80	4.02E-05	2.74E-04
histoblast morphogenesis (GO:0007488)	12	8	1.67	+	4.80	4.02E-05	2.74E-04
analia development (GO:0007487)	6	4	.83	+	4.80	4.41E-03	1.75E-02
mesectoderm development (GO:0048383)	6	4	.83	+	4.80	4.41E-03	1.75E-02
hindgut morphogenesis (GO:0007442)	57	38	7.92	+	4.80	8.19E-20	2.17E-18
foregut morphogenesis (GO:0007440)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
tetrahydrobiopterin metabolic process (GO:0046146)	6	4	.83	+	4.80	4.41E-03	1.75E-02
negative regulation of neuron differentiation (GO:0045665)	12	8	1.67	+	4.80	4.02E-05	2.74E-04
response to X-ray (GO:0010165)	6	4	.83	+	4.80	4.41E-03	1.74E-02
detection of UV (GO:0009589)	6	4	.83	+	4.80	4.41E-03	1.74E-02
response to anesthetic (GO:0072347)	9	6	1.25	+	4.80	4.11E-04	2.16E-03
dorsal closure, spreading of leading edge cells (GO:0007395)	9	6	1.25	+	4.80	4.11E-04	2.15E-03
positive regulation of gene expression, epigenetic (GO:0141137)	15	10	2.08	+	4.80	4.03E-06	3.40E-05
MAPK cascade (GO:0000165)	27	18	3.75	+	4.80	4.62E-10	6.23E-09
negative regulation of cell cycle G1/S phase transition (GO:1902807)	15	10	2.08	+	4.80	4.03E-06	3.39E-05
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	15	10	2.08	+	4.80	4.03E-06	3.39E-05
anterior/posterior pattern specification, imaginal disc (GO:0007448)	27	18	3.75	+	4.80	4.62E-10	6.21E-09
Malpighian tubule development (GO:0072002)	65	43	9.03	+	4.76	4.80E-22	1.38E-20
renal tubule development (GO:0061326)	65	43	9.03	+	4.76	4.80E-22	1.38E-20
establishment of ommatidial planar polarity (GO:0042067)	56	37	7.78	+	4.76	4.00E-19	1.03E-17
peripheral nervous system development (GO:0007422)	56	37	7.78	+	4.76	4.00E-19	1.03E-17
positive regulation of epithelial cell migration (GO:0010634)	41	27	5.70	+	4.74	2.96E-14	5.55E-13
establishment or maintenance of polarity of follicular epithelium (GO:0016334)	29	19	4.03	+	4.72	2.36E-10	3.28E-09
eye photoreceptor cell fate commitment (GO:0042706)	75	49	10.42	+	4.70	1.43E-24	4.78E-23
compound eye photoreceptor fate commitment (GO:0001752)	75	49	10.42	+	4.70	1.43E-24	4.76E-23
negative regulation of cell projection organization (GO:0031345)	23	15	3.20	+	4.69	2.14E-08	2.40E-07
hindgut development (GO:0061525)	60	39	8.34	+	4.68	1.05E-19	2.78E-18
positive regulation of axonogenesis (GO:0050772)	20	13	2.78	+	4.68	2.06E-07	2.10E-06
positive regulation of border follicle cell migration (GO:1903688)	40	26	5.56	+	4.68	1.42E-13	2.54E-12
ovarian nurse cell to oocyte transport (GO:0007300)	34	22	4.72	+	4.66	1.26E-11	1.95E-10
male courtship behavior, veined wing extension (GO:0048065)	17	11	2.36	+	4.66	2.00E-06	1.78E-05
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	17	11	2.36	+	4.66	2.00E-06	1.78E-05
flight behavior (GO:0007629)	17	11	2.36	+	4.66	2.00E-06	1.78E-05
regulation of cell-cell adhesion (GO:0022407)	31	20	4.31	+	4.64	1.19E-10	1.69E-09
neuroblast division (GO:0055057)	42	27	5.83	+	4.63	7.18E-14	1.31E-12
columnar/cuboidal epithelial cell differentiation (GO:0002065)	14	9	1.94	+	4.63	1.96E-05	1.42E-04
female sex determination (GO:0030237)	14	9	1.94	+	4.63	1.96E-05	1.42E-04
regulation of muscle organ development (GO:0048634)	14	9	1.94	+	4.63	1.96E-05	1.41E-04
negative regulation of cell-cell adhesion (GO:0022408)	14	9	1.94	+	4.63	1.96E-05	1.41E-04
transcription initiation-coupled chromatin remodeling (GO:0045815)	14	9	1.94	+	4.63	1.96E-05	1.41E-04
regulation of border follicle cell migration (GO:1903684)	42	27	5.83	+	4.63	7.18E-14	1.31E-12
nucleobase biosynthetic process (GO:0046112)	14	9	1.94	+	4.63	1.96E-05	1.41E-04
asymmetric neuroblast division (GO:0055059)	39	25	5.42	+	4.61	6.74E-13	1.14E-11
eye-antennal disc morphogenesis (GO:0007455)	39	25	5.42	+	4.61	6.74E-13	1.14E-11
genital disc development (GO:0035215)	50	32	6.95	+	4.61	4.12E-16	8.94E-15
dorsal/ventral axis specification (GO:0009950)	72	46	10.00	+	4.60	1.55E-22	4.60E-21
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	11	7	1.53	+	4.58	1.95E-04	1.12E-03
cell activation (GO:0001775)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
cell-cell signaling involved in cell fate commitment (GO:0045168)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
positive regulation of nucleocytoplasmic transport (GO:0046824)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
regulation of lamellocyte differentiation (GO:0035203)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
G protein-coupled opsin signaling pathway (GO:0016056)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
oocyte nucleus localization involved in oocyte dorsal/ventral axis specification (GO:0051663)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
primary sex determination, soma (GO:0007539)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
regulation of stem cell division (GO:2000035)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
germ-line sex determination (GO:0018992)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
regulation of cyclin-dependent protein kinase activity (GO:1904029)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
germ-band extension (GO:0007377)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
egg activation (GO:0007343)	11	7	1.53	+	4.58	1.95E-04	1.11E-03
renal system development (GO:0072001)	74	47	10.28	+	4.57	7.79E-23	2.35E-21
regulation of cell fate commitment (GO:0010453)	30	19	4.17	+	4.56	5.59E-10	7.41E-09
JNK cascade (GO:0007254)	19	12	2.64	+	4.55	9.75E-07	9.15E-06
negative regulation of cell adhesion (GO:0007162)	19	12	2.64	+	4.55	9.75E-07	9.13E-06
hemocyte migration (GO:0035099)	19	12	2.64	+	4.55	9.75E-07	9.12E-06
oocyte microtubule cytoskeleton polarization (GO:0008103)	19	12	2.64	+	4.55	9.75E-07	9.11E-06
peptidoglycan recognition protein signaling pathway (GO:0061057)	19	12	2.64	+	4.55	9.75E-07	9.10E-06
ventral furrow formation (GO:0007370)	19	12	2.64	+	4.55	9.75E-07	9.09E-06
regulation of axonogenesis (GO:0050770)	46	29	6.39	+	4.54	1.80E-14	3.44E-13
dorsal appendage formation (GO:0046843)	54	34	7.50	+	4.53	1.03E-16	2.38E-15
R8 cell fate commitment (GO:0007460)	27	17	3.75	+	4.53	5.27E-09	6.41E-08
motor neuron axon guidance (GO:0008045)	70	44	9.72	+	4.52	3.39E-21	9.49E-20
neuron fate commitment (GO:0048663)	99	62	13.75	+	4.51	3.30E-29	1.36E-27
Golgi to vacuole transport (GO:0006896)	8	5	1.11	+	4.50	2.00E-03	8.99E-03
regulation of cell maturation (GO:1903429)	16	10	2.22	+	4.50	9.40E-06	7.32E-05
male germ-line stem cell asymmetric division (GO:0048133)	8	5	1.11	+	4.50	2.00E-03	8.99E-03
male courtship behavior, veined wing vibration (GO:0016545)	16	10	2.22	+	4.50	9.40E-06	7.31E-05
exosomal secretion (GO:1990182)	8	5	1.11	+	4.50	2.00E-03	8.98E-03
ommochrome biosynthetic process (GO:0006727)	8	5	1.11	+	4.50	2.00E-03	8.98E-03
specification of axis polarity (GO:0065001)	8	5	1.11	+	4.50	2.00E-03	8.97E-03
female meiosis I (GO:0007144)	8	5	1.11	+	4.50	2.00E-03	8.97E-03
non-canonical Wnt signaling pathway (GO:0035567)	8	5	1.11	+	4.50	2.00E-03	8.96E-03
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	8	5	1.11	+	4.50	2.00E-03	8.95E-03
extracellular exosome biogenesis (GO:0097734)	8	5	1.11	+	4.50	2.00E-03	8.95E-03
cardioblast cell fate commitment (GO:0042684)	8	5	1.11	+	4.50	2.00E-03	8.94E-03
oocyte microtubule cytoskeleton organization (GO:0016325)	32	20	4.45	+	4.50	2.76E-10	3.81E-09
metaphase/anaphase transition of cell cycle (GO:0044784)	8	5	1.11	+	4.50	2.00E-03	8.94E-03
female genitalia development (GO:0030540)	8	5	1.11	+	4.50	2.00E-03	8.93E-03
regulation of neuron maturation (GO:0014041)	16	10	2.22	+	4.50	9.40E-06	7.31E-05
positive regulation of RNA splicing (GO:0033120)	8	5	1.11	+	4.50	2.00E-03	8.93E-03
regulation of protein localization to plasma membrane (GO:1903076)	8	5	1.11	+	4.50	2.00E-03	8.92E-03
regulation of neuron remodeling (GO:1904799)	16	10	2.22	+	4.50	9.40E-06	7.30E-05
positive regulation of apoptotic process involved in development (GO:1904747)	8	5	1.11	+	4.50	2.00E-03	8.92E-03
ocellus pigmentation (GO:0033060)	8	5	1.11	+	4.50	2.00E-03	8.91E-03
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	8	5	1.11	+	4.50	2.00E-03	8.91E-03
establishment of glial blood-brain barrier (GO:0060857)	16	10	2.22	+	4.50	9.40E-06	7.29E-05
ocellus pigment biosynthetic process (GO:0008055)	8	5	1.11	+	4.50	2.00E-03	8.90E-03
positive regulation of glycogen catabolic process (GO:0045819)	8	5	1.11	+	4.50	2.00E-03	8.89E-03
primary sex determination, germ-line (GO:0007542)	8	5	1.11	+	4.50	2.00E-03	8.89E-03
primary sex determination (GO:0007538)	16	10	2.22	+	4.50	9.40E-06	7.28E-05
regulation of myosin II filament organization (GO:0043519)	8	5	1.11	+	4.50	2.00E-03	8.88E-03
oenocyte development (GO:0007438)	8	5	1.11	+	4.50	2.00E-03	8.88E-03
ocellus pigment metabolic process (GO:0046158)	8	5	1.11	+	4.50	2.00E-03	8.87E-03
ommochrome metabolic process (GO:0046152)	8	5	1.11	+	4.50	2.00E-03	8.87E-03
cell chemotaxis (GO:0060326)	8	5	1.11	+	4.50	2.00E-03	8.86E-03
anterior/posterior axis specification (GO:0009948)	125	78	17.36	+	4.49	2.81E-36	1.47E-34
midgut development (GO:0007494)	37	23	5.14	+	4.47	1.45E-11	2.24E-10
regulation of neuroblast proliferation (GO:1902692)	50	31	6.95	+	4.46	4.40E-15	8.90E-14
chemotaxis (GO:0006935)	34	21	4.72	+	4.45	1.35E-10	1.91E-09
ensheathment of neurons (GO:0007272)	13	8	1.81	+	4.43	9.17E-05	5.76E-04
positive regulation of cell maturation (GO:1903431)	13	8	1.81	+	4.43	9.17E-05	5.75E-04
regulation of cell fate specification (GO:0042659)	26	16	3.61	+	4.43	2.42E-08	2.69E-07
positive regulation of neuron maturation (GO:0014042)	13	8	1.81	+	4.43	9.17E-05	5.75E-04
positive regulation of neuron remodeling (GO:1904801)	13	8	1.81	+	4.43	9.17E-05	5.74E-04
axon midline choice point recognition (GO:0016199)	26	16	3.61	+	4.43	2.42E-08	2.69E-07
actomyosin contractile ring assembly (GO:0000915)	13	8	1.81	+	4.43	9.17E-05	5.74E-04
maintenance of epithelial integrity, open tracheal system (GO:0035160)	13	8	1.81	+	4.43	9.17E-05	5.73E-04
response to cocaine (GO:0042220)	13	8	1.81	+	4.43	9.17E-05	5.73E-04
pupariation (GO:0035073)	13	8	1.81	+	4.43	9.17E-05	5.72E-04
proximal/distal pattern formation (GO:0009954)	26	16	3.61	+	4.43	2.42E-08	2.68E-07
regulation of actin filament bundle assembly (GO:0032231)	13	8	1.81	+	4.43	9.17E-05	5.72E-04
eclosion (GO:0007562)	13	8	1.81	+	4.43	9.17E-05	5.71E-04
dorsal closure (GO:0007391)	104	64	14.45	+	4.43	1.82E-29	7.55E-28
hemocyte differentiation (GO:0042386)	31	19	4.31	+	4.41	1.26E-09	1.60E-08
non-sensory hair organization (GO:0035316)	49	30	6.81	+	4.41	2.00E-14	3.80E-13
hair cell differentiation (GO:0035315)	49	30	6.81	+	4.41	2.00E-14	3.79E-13
wing disc anterior/posterior pattern formation (GO:0048100)	18	11	2.50	+	4.40	4.49E-06	3.71E-05
establishment of blood-brain barrier (GO:0060856)	18	11	2.50	+	4.40	4.49E-06	3.70E-05
negative regulation of cell fate commitment (GO:0010454)	18	11	2.50	+	4.40	4.49E-06	3.70E-05
digestive tract morphogenesis (GO:0048546)	72	44	10.00	+	4.40	1.72E-20	4.77E-19
axis specification (GO:0009798)	189	115	26.26	+	4.38	2.12E-51	1.69E-49
embryonic development via the syncytial blastoderm (GO:0001700)	168	102	23.34	+	4.37	1.52E-45	1.03E-43
neuroblast fate commitment (GO:0014017)	28	17	3.89	+	4.37	1.17E-08	1.36E-07
axon choice point recognition (GO:0016198)	28	17	3.89	+	4.37	1.17E-08	1.35E-07
stem cell differentiation (GO:0048863)	28	17	3.89	+	4.37	1.17E-08	1.35E-07
negative regulation of neurogenesis (GO:0050768)	38	23	5.28	+	4.36	3.20E-11	4.79E-10
embryo development ending in birth or egg hatching (GO:0009792)	177	107	24.59	+	4.35	1.77E-47	1.26E-45
imaginal disc-derived wing hair organization (GO:0035317)	48	29	6.67	+	4.35	8.93E-14	1.62E-12
neural precursor cell proliferation (GO:0061351)	53	32	7.36	+	4.35	4.74E-15	9.52E-14
neuroblast proliferation (GO:0007405)	53	32	7.36	+	4.35	4.74E-15	9.49E-14
anterior/posterior pattern specification (GO:0009952)	181	109	25.14	+	4.33	4.05E-48	2.95E-46
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	40	24	5.56	+	4.32	1.55E-11	2.38E-10
positive regulation of DNA-templated transcription, elongation (GO:0032786)	20	12	2.78	+	4.32	2.13E-06	1.88E-05
regulation of axon guidance (GO:1902667)	20	12	2.78	+	4.32	2.13E-06	1.88E-05
attachment of spindle microtubules to kinetochore (GO:0008608)	10	6	1.39	+	4.32	9.06E-04	4.48E-03
positive regulation of glycogen metabolic process (GO:0070875)	10	6	1.39	+	4.32	9.06E-04	4.48E-03
regulation of hemocyte proliferation (GO:0035206)	40	24	5.56	+	4.32	1.55E-11	2.38E-10
formation of anatomical boundary (GO:0048859)	45	27	6.25	+	4.32	8.17E-13	1.37E-11
apical constriction involved in gastrulation (GO:0003384)	10	6	1.39	+	4.32	9.06E-04	4.48E-03
epithelial cell morphogenesis involved in gastrulation (GO:0003381)	10	6	1.39	+	4.32	9.06E-04	4.47E-03
lateral inhibition (GO:0046331)	10	6	1.39	+	4.32	9.06E-04	4.47E-03
positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria (GO:0006964)	10	6	1.39	+	4.32	9.06E-04	4.47E-03
cardioblast differentiation (GO:0010002)	15	9	2.08	+	4.32	4.29E-05	2.90E-04
positive regulation of actin filament polymerization (GO:0030838)	15	9	2.08	+	4.32	4.29E-05	2.90E-04
male courtship behavior, veined wing generated song production (GO:0045433)	15	9	2.08	+	4.32	4.29E-05	2.89E-04
prepupal development (GO:0035210)	15	9	2.08	+	4.32	4.29E-05	2.89E-04
regulation of neural precursor cell proliferation (GO:2000177)	60	36	8.34	+	4.32	1.22E-16	2.78E-15
spindle elongation (GO:0051231)	15	9	2.08	+	4.32	4.29E-05	2.89E-04
cell fate commitment involved in pattern specification (GO:0060581)	35	21	4.86	+	4.32	2.94E-10	4.04E-09
positive regulation of axon extension (GO:0045773)	15	9	2.08	+	4.32	4.29E-05	2.89E-04
cell fate determination (GO:0001709)	127	76	17.64	+	4.31	1.41E-33	6.96E-32
establishment or maintenance of cytoskeleton polarity (GO:0030952)	47	28	6.53	+	4.29	3.94E-13	6.71E-12
epidermal cell differentiation (GO:0009913)	54	32	7.50	+	4.27	1.01E-14	1.99E-13
embryonic axis specification (GO:0000578)	108	64	15.00	+	4.27	4.05E-28	1.58E-26
R7 cell differentiation (GO:0045466)	49	29	6.81	+	4.26	1.90E-13	3.37E-12
negative chemotaxis (GO:0050919)	22	13	3.06	+	4.25	1.01E-06	9.29E-06
determination of bilateral symmetry (GO:0009855)	22	13	3.06	+	4.25	1.01E-06	9.27E-06
specification of symmetry (GO:0009799)	22	13	3.06	+	4.25	1.01E-06	9.26E-06
negative regulation of cell size (GO:0045792)	22	13	3.06	+	4.25	1.01E-06	9.25E-06
intracellular mRNA localization (GO:0008298)	61	36	8.47	+	4.25	2.58E-16	5.74E-15
germ-line stem cell division (GO:0042078)	39	23	5.42	+	4.25	6.77E-11	9.82E-10
digestive system development (GO:0055123)	112	66	15.56	+	4.24	9.32E-29	3.79E-27
digestive tract development (GO:0048565)	112	66	15.56	+	4.24	9.32E-29	3.77E-27
organism emergence from protective structure (GO:0071684)	17	10	2.36	+	4.23	2.00E-05	1.44E-04
asymmetric protein localization involved in cell fate determination (GO:0045167)	17	10	2.36	+	4.23	2.00E-05	1.44E-04
larval lymph gland hemocyte differentiation (GO:0035168)	17	10	2.36	+	4.23	2.00E-05	1.44E-04
protein localization to chromosome (GO:0034502)	17	10	2.36	+	4.23	2.00E-05	1.43E-04
cell fate commitment involved in formation of primary germ layer (GO:0060795)	17	10	2.36	+	4.23	2.00E-05	1.43E-04
DNA endoreduplication (GO:0042023)	17	10	2.36	+	4.23	2.00E-05	1.43E-04
heart process (GO:0003015)	17	10	2.36	+	4.23	2.00E-05	1.43E-04
circulatory system process (GO:0003013)	17	10	2.36	+	4.23	2.00E-05	1.43E-04
retinal ganglion cell axon guidance (GO:0031290)	12	7	1.67	+	4.20	4.12E-04	2.16E-03
